Date,Forecast
2025-01-01,776.513231426766
2025-01-02,777.7787525710366
2025-01-03,777.8551570490215
2025-01-04,777.4204873994219
2025-01-05,777.3825052020951
2025-01-06,776.9310906053455
2025-01-07,776.6382207952092
2025-01-08,776.2011130359531
2025-01-09,776.0526759932733
2025-01-10,775.6727073749659
2025-01-11,775.578046045174
2025-01-12,775.4509624313416
2025-01-13,775.5776421089801
2025-01-14,776.0833465876613
2025-01-15,775.6640436498569
2025-01-16,775.9127989623369
2025-01-17,775.5637587961326
2025-01-18,775.425741567876
2025-01-19,775.3330480728976
2025-01-20,775.2411678040423
2025-01-21,775.2461150250555
2025-01-22,775.2758405258546
2025-01-23,775.3841324506475
2025-01-24,775.5067228091091
2025-01-25,775.720803929148
2025-01-26,775.9208416133458
2025-01-27,776.1368291514968
2025-01-28,776.275945463103
2025-01-29,776.2619191007193
2025-01-30,776.4938009212578
2025-01-31,776.5502710117964
2025-02-01,776.8989076525195
2025-02-02,777.1979067339514
2025-02-03,777.4766207978489
2025-02-04,777.7310635555998
2025-02-05,777.8780015806765
2025-02-06,777.9932268486003
2025-02-07,778.069288896635
2025-02-08,778.1256095460914
2025-02-09,778.1697544290657
2025-02-10,778.2034225133582
2025-02-11,778.2304528073485
2025-02-12,778.2514111983437
2025-02-13,778.2514111983437
2025-02-14,778.2514111983437
2025-02-15,778.2514111983437
2025-02-16,778.2514111983437
2025-02-17,778.2514111983437
2025-02-18,778.2514111983437
2025-02-19,778.2514111983437
